,Upper Left Eye x,Upper Left Eye y,Lower Left Eye x,Lower Left Eye y,Upper Right Eye x,Upper Right Eye y,Lower Right Eye x,Lower Right Eye y,SB x,SB y,Upper Tail x,Upper Tail y,Mid-Tail x,Mid-Tail y,Lower Tail x,Lower Tail y,Tail Tip x,Tail Tip y,Head x,Head y
0,699.3594,231.17188,643.8906,197.89062,688.2656,275.54688,632.7969,286.64062,521.8594,242.26562,399.82812,242.26562,277.79688,242.26562,155.76562,231.17188,22.640625,220.07812,666.0781,253.35938
1,698.40625,231.28125,643.09375,198.09375,687.34375,275.53125,632.03125,286.59375,521.40625,253.40625,399.71875,242.34375,278.03125,242.34375,156.34375,231.28125,23.59375,220.21875,665.21875,253.40625
2,700.3828,231.72656,644.9922,198.49219,689.3047,276.03906,633.91406,287.1172,523.1328,242.80469,401.27344,242.80469,279.41406,242.80469,157.55469,231.72656,24.617188,220.64844,656.0703,253.88281
3,698.3828,231.72656,642.9922,198.49219,687.3047,276.03906,631.91406,287.1172,521.1328,242.80469,399.27344,242.80469,288.4922,242.80469,155.55469,231.72656,22.617188,220.64844,665.14844,253.88281
4,699.3828,231.72656,643.9922,198.49219,688.3047,276.03906,632.91406,287.1172,522.1328,253.88281,400.27344,242.80469,278.41406,242.80469,156.55469,231.72656,23.617188,220.64844,666.14844,253.88281
5,699.4297,231.83594,644.1953,198.69531,688.3828,276.02344,633.14844,287.0703,522.6797,242.88281,401.16406,242.88281,279.64844,242.88281,158.13281,231.83594,25.570312,220.78906,666.28906,253.92969
6,698.40625,231.28125,643.09375,198.09375,687.34375,275.53125,632.03125,286.59375,521.40625,242.34375,399.71875,242.34375,278.03125,242.34375,156.34375,231.28125,23.59375,220.21875,665.21875,253.40625
7,700.4531,231.39062,645.2969,198.29688,689.4219,275.51562,634.2656,286.54688,523.9531,253.45312,402.60938,242.42188,281.26562,242.42188,159.92188,231.39062,27.546875,220.35938,656.3281,253.45312
8,701.2422,231.39844,645.3828,197.88281,690.0703,276.08594,634.21094,287.2578,522.4922,242.57031,399.60156,242.57031,276.71094,242.57031,153.82031,231.39844,19.757812,220.22656,656.5547,253.74219
9,700.4297,220.78906,645.1953,198.69531,689.3828,276.02344,634.14844,287.0703,523.6797,242.88281,402.16406,242.88281,280.64844,242.88281,159.13281,231.83594,26.570312,220.78906,656.2422,253.92969
10,698.3828,231.72656,642.9922,198.49219,687.3047,276.03906,631.91406,287.1172,521.1328,242.80469,399.27344,242.80469,277.41406,242.80469,155.55469,231.72656,22.617188,220.64844,665.14844,253.88281
11,699.3594,231.17188,643.8906,197.89062,688.2656,275.54688,632.7969,286.64062,521.8594,253.35938,399.82812,242.26562,277.79688,242.26562,155.76562,231.17188,22.640625,220.07812,666.0781,253.35938
12,698.40625,231.28125,643.09375,198.09375,687.34375,275.53125,632.03125,286.59375,521.40625,242.34375,399.71875,242.34375,278.03125,242.34375,156.34375,231.28125,23.59375,220.21875,665.21875,253.40625
13,698.3594,231.17188,642.8906,197.89062,687.2656,275.54688,631.7969,286.64062,520.8594,242.26562,398.82812,242.26562,276.79688,242.26562,154.76562,231.17188,21.640625,220.07812,665.0781,253.35938
14,698.3594,231.17188,642.8906,197.89062,687.2656,275.54688,631.7969,286.64062,520.8594,242.26562,398.82812,242.26562,276.79688,242.26562,154.76562,231.17188,21.640625,220.07812,665.0781,253.35938
15,699.33594,231.61719,643.78906,198.28906,688.22656,276.0547,632.6797,287.16406,521.58594,242.72656,399.3828,242.72656,277.1797,242.72656,154.97656,231.61719,21.664062,220.50781,666.0078,253.83594
16,700.4297,220.78906,645.1953,198.69531,689.3828,276.02344,634.14844,287.0703,523.6797,242.88281,402.16406,242.88281,280.64844,242.88281,159.13281,231.83594,26.570312,220.78906,656.2422,253.92969
17,699.3828,231.72656,643.9922,198.49219,688.3047,276.03906,632.91406,287.1172,522.1328,242.80469,400.27344,242.80469,278.41406,242.80469,156.55469,231.72656,23.617188,220.64844,666.14844,253.88281
18,698.3594,231.17188,642.8906,197.89062,687.2656,275.54688,631.7969,286.64062,520.8594,242.26562,398.82812,242.26562,276.79688,242.26562,154.76562,231.17188,21.640625,220.07812,665.0781,253.35938
19,698.40625,231.28125,643.09375,198.09375,687.34375,275.53125,632.03125,286.59375,521.40625,242.34375,399.71875,242.34375,278.03125,242.34375,156.34375,231.28125,23.59375,220.21875,665.21875,253.40625
20,699.3828,231.72656,643.9922,198.49219,688.3047,276.03906,632.91406,287.1172,522.1328,242.80469,400.27344,242.80469,278.41406,242.80469,156.55469,231.72656,23.617188,220.64844,666.14844,253.88281
21,698.40625,231.28125,643.09375,198.09375,687.34375,275.53125,632.03125,286.59375,521.40625,253.40625,399.71875,242.34375,278.03125,242.34375,156.34375,231.28125,23.59375,220.21875,665.21875,253.40625
22,700.33594,231.61719,644.78906,198.28906,689.22656,276.0547,633.6797,287.16406,522.58594,242.72656,400.3828,242.72656,278.1797,242.72656,155.97656,231.61719,22.664062,220.50781,655.89844,253.83594
23,698.3828,231.72656,642.9922,198.49219,687.3047,276.03906,631.91406,287.1172,521.1328,242.80469,399.27344,242.80469,277.41406,242.80469,155.55469,231.72656,22.617188,220.64844,665.14844,253.88281
24,700.3828,231.72656,644.9922,198.49219,689.3047,276.03906,633.91406,287.1172,523.1328,242.80469,401.27344,242.80469,279.41406,242.80469,157.55469,231.72656,24.617188,220.64844,656.0703,253.88281
25,698.3828,231.72656,642.9922,198.49219,687.3047,276.03906,631.91406,287.1172,521.1328,253.88281,399.27344,242.80469,277.41406,242.80469,155.55469,231.72656,22.617188,220.64844,665.14844,253.88281
26,698.3828,231.72656,642.9922,198.49219,687.3047,276.03906,631.91406,287.1172,521.1328,242.80469,399.27344,242.80469,277.41406,242.80469,155.55469,231.72656,22.617188,220.64844,665.14844,253.88281
27,699.40625,231.28125,644.09375,198.09375,688.34375,275.53125,633.03125,286.59375,522.40625,253.40625,400.71875,242.34375,279.03125,242.34375,157.34375,231.28125,24.59375,220.21875,666.21875,253.40625
28,699.3828,231.72656,643.9922,198.49219,688.3047,276.03906,632.91406,287.1172,522.1328,242.80469,400.27344,242.80469,278.41406,242.80469,156.55469,231.72656,23.617188,220.64844,666.14844,253.88281
29,699.40625,231.28125,644.09375,198.09375,688.34375,275.53125,633.03125,286.59375,522.40625,253.40625,400.71875,242.34375,279.03125,242.34375,157.34375,231.28125,24.59375,220.21875,666.21875,253.40625
30,697.4297,231.83594,642.1953,198.69531,697.4297,276.02344,642.1953,287.0703,520.6797,242.88281,399.16406,242.88281,277.64844,242.88281,156.13281,231.83594,23.570312,220.78906,664.28906,253.92969
31,699.3594,231.17188,643.8906,197.89062,688.2656,275.54688,632.7969,286.64062,521.8594,242.26562,399.82812,242.26562,277.79688,242.26562,155.76562,231.17188,22.640625,220.07812,666.0781,253.35938
32,700.4531,231.39062,645.2969,198.29688,689.4219,275.51562,634.2656,286.54688,523.9531,253.45312,402.60938,242.42188,281.26562,242.42188,159.92188,231.39062,27.546875,220.35938,667.3594,253.45312
33,698.3594,231.17188,642.8906,197.89062,698.3594,275.54688,631.7969,286.64062,520.8594,242.26562,398.82812,242.26562,276.79688,242.26562,154.76562,231.17188,21.640625,220.07812,665.0781,253.35938
34,698.3594,231.17188,642.8906,197.89062,687.2656,275.54688,631.7969,286.64062,520.8594,253.35938,398.82812,242.26562,276.79688,242.26562,154.76562,231.17188,21.640625,220.07812,665.0781,253.35938
35,698.3594,231.17188,642.8906,197.89062,687.2656,275.54688,631.7969,286.64062,520.8594,253.35938,398.82812,242.26562,276.79688,242.26562,154.76562,231.17188,21.640625,220.07812,665.0781,253.35938
36,699.33594,231.61719,643.78906,198.28906,688.22656,276.0547,632.6797,287.16406,521.58594,242.72656,399.3828,242.72656,277.1797,242.72656,154.97656,231.61719,21.664062,220.50781,666.0078,253.83594
37,698.3828,231.72656,642.9922,198.49219,687.3047,276.03906,631.91406,287.1172,521.1328,253.88281,399.27344,242.80469,277.41406,242.80469,155.55469,231.72656,22.617188,220.64844,665.14844,253.88281
38,699.3828,231.72656,643.9922,198.49219,688.3047,276.03906,632.91406,287.1172,522.1328,242.80469,400.27344,242.80469,278.41406,242.80469,156.55469,231.72656,23.617188,220.64844,666.14844,253.88281
39,699.3594,220.07812,643.8906,197.89062,688.2656,275.54688,632.7969,286.64062,521.8594,253.35938,399.82812,242.26562,277.79688,242.26562,155.76562,231.17188,22.640625,220.07812,666.0781,253.35938
40,698.3828,231.72656,642.9922,198.49219,687.3047,276.03906,631.91406,287.1172,521.1328,242.80469,399.27344,242.80469,277.41406,242.80469,155.55469,231.72656,22.617188,220.64844,665.14844,253.88281
41,697.40625,231.28125,642.09375,198.09375,697.40625,275.53125,642.09375,286.59375,520.40625,242.34375,398.71875,242.34375,277.03125,242.34375,155.34375,231.28125,22.59375,220.21875,664.21875,253.40625
42,698.40625,231.28125,643.09375,198.09375,687.34375,275.53125,643.09375,286.59375,521.40625,253.40625,399.71875,242.34375,278.03125,242.34375,156.34375,231.28125,23.59375,220.21875,665.21875,253.40625
