,Upper Left Eye x,Upper Left Eye y,Lower Left Eye x,Lower Left Eye y,Upper Right Eye x,Upper Right Eye y,Lower Right Eye x,Lower Right Eye y,SB x,SB y,Upper Tail x,Upper Tail y,Mid-Tail x,Mid-Tail y,Lower Tail x,Lower Tail y,Tail Tip x,Tail Tip y,Head x,Head y
31,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,528.75,202.25,281.25,247.25,33.75,292.25,1361.25,112.25
32,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,247.25,33.75,269.75,1361.25,112.25
33,1428.7969,90.359375,1316.7656,23.140625,1428.7969,157.57812,1316.7656,179.98438,1070.2969,112.765625,823.8281,157.57812,554.9531,202.39062,286.07812,224.79688,17.203125,247.20312,1361.5781,112.765625
34,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,821.25,157.25,551.25,202.25,281.25,247.25,33.75,269.75,1361.25,112.25
35,1423.8203,91.16406,1312.0234,1.7265625,1423.8203,158.24219,1312.0234,180.60156,1066.0703,135.88281,797.7578,158.24219,551.8047,202.96094,305.85156,225.32031,37.539062,270.03906,1379.1016,113.52344
36,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,303.75,224.75,33.75,247.25,1361.25,112.25
37,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,224.75,33.75,269.75,1361.25,112.25
38,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,247.25,33.75,269.75,1361.25,112.25
39,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,224.75,33.75,269.75,1361.25,112.25
40,1423.7891,68.33594,1311.6797,23.492188,1423.7891,158.02344,1311.6797,180.44531,1065.0391,135.60156,818.39844,158.02344,549.33594,202.86719,302.6953,225.28906,33.632812,270.1328,1378.9453,113.17969
41,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,528.75,202.25,258.75,247.25,33.75,292.25,1361.25,112.25
