,Upper Left Eye x,Upper Left Eye y,Lower Left Eye x,Lower Left Eye y,Upper Right Eye x,Upper Right Eye y,Lower Right Eye x,Lower Right Eye y,SB x,SB y,Upper Tail x,Upper Tail y,Mid-Tail x,Mid-Tail y,Lower Tail x,Lower Tail y,Tail Tip x,Tail Tip y,Head x,Head y
0,617.96094,139.30469,557.8672,129.28906,627.97656,189.38281,567.8828,219.42969,447.6953,209.41406,347.53906,229.44531,237.36719,269.5078,127.19531,279.52344,17.023438,289.53906,587.91406,169.35156
1,616.0,139.0,556.0,129.0,626.0,189.0,576.0,219.0,446.0,209.0,346.0,229.0,236.0,269.0,126.0,279.0,16.0,279.0,586.0,169.0
2,617.0,138.0,557.0,128.0,627.0,188.0,567.0,218.0,447.0,208.0,347.0,228.0,237.0,268.0,127.0,278.0,17.0,278.0,587.0,168.0
3,615.96094,139.30469,555.8672,129.28906,625.97656,189.38281,575.89844,219.42969,445.6953,209.41406,345.53906,229.44531,235.36719,269.5078,125.19531,279.52344,25.039062,279.52344,585.91406,169.35156
4,617.0,140.0,557.0,130.0,627.0,190.0,577.0,220.0,447.0,210.0,347.0,230.0,237.0,270.0,127.0,280.0,17.0,290.0,587.0,170.0
5,617.0,140.0,557.0,130.0,627.0,190.0,577.0,220.0,447.0,210.0,337.0,230.0,237.0,270.0,127.0,280.0,17.0,290.0,587.0,170.0
6,615.96094,139.30469,555.8672,129.28906,625.97656,189.38281,575.89844,219.42969,445.6953,209.41406,345.53906,229.44531,235.36719,269.5078,125.19531,279.52344,25.039062,279.52344,585.91406,169.35156
7,608.8906,138.60938,558.7344,128.57812,618.9219,188.76562,568.7656,218.85938,448.39062,208.82812,338.04688,228.89062,237.73438,269.01562,127.390625,279.04688,17.046875,279.04688,588.8281,168.70312
8,608.83594,138.91406,558.60156,128.86719,618.8828,189.14844,568.64844,219.28906,448.08594,209.24219,347.6172,229.33594,237.10156,269.52344,126.58594,279.5703,16.070312,279.5703,588.7422,169.05469
9,608.8906,139.60938,558.7344,129.57812,618.9219,189.76562,568.7656,219.85938,448.39062,209.82812,338.04688,229.89062,237.73438,270.01562,127.390625,280.04688,17.046875,290.07812,588.8281,169.70312
10,615.96094,139.30469,555.8672,129.28906,625.97656,189.38281,575.89844,219.42969,445.6953,209.41406,345.53906,229.44531,235.36719,269.5078,125.19531,279.52344,15.0234375,289.53906,585.91406,169.35156
11,616.0,139.0,556.0,129.0,626.0,189.0,576.0,219.0,446.0,209.0,346.0,229.0,236.0,269.0,126.0,279.0,26.0,279.0,586.0,169.0
12,616.0,139.0,556.0,129.0,626.0,189.0,576.0,219.0,446.0,209.0,346.0,229.0,236.0,269.0,126.0,279.0,16.0,289.0,586.0,169.0
13,613.2344,139.17188,553.7969,129.26562,623.1406,188.70312,573.6094,218.42188,444.82812,208.51562,345.76562,238.23438,236.79688,267.95312,127.828125,277.85938,18.859375,287.76562,593.4219,168.89062
14,618.0,138.0,558.0,128.0,628.0,188.0,568.0,218.0,448.0,208.0,348.0,238.0,238.0,268.0,128.0,278.0,18.0,288.0,588.0,168.0
15,617.0781,137.39062,557.2656,127.421875,627.0469,187.23438,567.2344,217.14062,447.60938,207.17188,337.95312,237.07812,238.26562,266.98438,128.60938,276.95312,18.953125,286.92188,587.1719,167.29688
16,617.0781,138.39062,557.2656,128.42188,627.0469,188.23438,567.2344,218.14062,447.60938,208.17188,347.92188,238.07812,238.26562,267.98438,128.60938,277.95312,18.953125,287.92188,587.1719,168.29688
17,616.03906,138.69531,556.1328,128.71094,626.02344,188.61719,576.10156,218.57031,446.3047,208.58594,346.46094,228.55469,236.63281,268.4922,126.80469,278.47656,16.976562,288.46094,586.08594,168.64844
18,609.0,139.0,559.0,129.0,619.0,189.0,569.0,219.0,449.0,209.0,339.0,229.0,239.0,269.0,129.0,279.0,19.0,289.0,589.0,169.0
19,609.0,139.0,559.0,129.0,619.0,189.0,569.0,219.0,449.0,209.0,339.0,229.0,239.0,269.0,129.0,279.0,19.0,289.0,589.0,169.0
20,608.8906,138.60938,558.7344,128.57812,618.9219,188.76562,568.7656,218.85938,448.39062,208.82812,338.04688,228.89062,237.73438,269.01562,127.390625,279.04688,17.046875,289.07812,588.8281,168.70312
21,616.03906,138.69531,556.1328,128.71094,626.02344,188.61719,576.10156,218.57031,446.3047,208.58594,346.46094,238.53906,236.63281,268.4922,126.80469,278.47656,16.976562,288.46094,586.08594,168.64844
22,617.96094,139.30469,557.8672,129.28906,627.97656,189.38281,567.8828,219.42969,447.6953,209.41406,337.52344,229.44531,237.36719,269.5078,127.19531,279.52344,17.023438,289.53906,587.91406,169.35156
23,615.15625,138.78125,555.53125,128.84375,625.09375,188.46875,575.40625,218.28125,446.21875,208.34375,346.84375,238.15625,237.53125,267.96875,128.21875,277.90625,18.90625,287.84375,585.34375,168.59375
24,616.0781,139.39062,556.2656,129.42188,626.0469,189.23438,576.2031,219.14062,446.60938,209.17188,346.92188,229.10938,237.26562,268.98438,127.609375,278.95312,17.953125,288.92188,586.1719,169.29688
25,617.0,139.0,557.0,129.0,627.0,189.0,577.0,219.0,447.0,209.0,347.0,229.0,237.0,269.0,127.0,279.0,17.0,279.0,587.0,169.0
26,615.96094,138.30469,555.8672,128.28906,625.97656,188.38281,565.8828,218.42969,445.6953,208.41406,335.52344,238.46094,235.36719,268.5078,125.19531,278.52344,15.0234375,278.52344,585.91406,168.35156
27,608.83594,138.91406,558.60156,128.86719,618.8828,189.14844,568.64844,219.28906,448.08594,209.24219,337.5703,229.33594,237.10156,269.52344,126.58594,279.5703,26.117188,279.5703,588.7422,169.05469
28,615.96094,139.30469,555.8672,129.28906,625.97656,189.38281,575.89844,219.42969,445.6953,209.41406,345.53906,229.44531,235.36719,269.5078,125.19531,279.52344,15.0234375,289.53906,585.91406,169.35156
29,615.96094,139.30469,555.8672,129.28906,625.97656,189.38281,575.89844,219.42969,445.6953,209.41406,345.53906,229.44531,235.36719,269.5078,125.19531,279.52344,15.0234375,289.53906,585.91406,169.35156
30,615.96094,138.30469,555.8672,128.28906,625.97656,188.38281,565.8828,218.42969,445.6953,208.41406,345.53906,238.46094,235.36719,268.5078,125.19531,278.52344,15.0234375,288.53906,585.91406,168.35156
31,615.96094,138.30469,555.8672,128.28906,625.97656,188.38281,565.8828,218.42969,445.6953,208.41406,345.53906,238.46094,235.36719,268.5078,125.19531,278.52344,25.039062,278.52344,585.91406,168.35156
32,618.0,139.0,558.0,129.0,628.0,189.0,568.0,219.0,448.0,209.0,338.0,229.0,238.0,269.0,128.0,279.0,18.0,289.0,588.0,169.0
33,616.0781,139.39062,556.2656,129.42188,626.0469,189.23438,576.2031,219.14062,446.60938,209.17188,336.95312,229.10938,237.26562,268.98438,127.609375,278.95312,17.953125,288.92188,586.1719,169.29688
34,616.0,139.0,556.0,129.0,626.0,189.0,576.0,219.0,446.0,209.0,346.0,229.0,236.0,269.0,126.0,279.0,16.0,289.0,586.0,169.0
35,608.8906,139.60938,558.7344,129.57812,618.9219,189.76562,568.7656,219.85938,448.39062,209.82812,338.04688,229.89062,237.73438,270.01562,127.390625,280.04688,17.046875,280.04688,588.8281,169.70312
36,617.96094,138.30469,557.8672,128.28906,627.97656,188.38281,567.8828,218.42969,447.6953,208.41406,347.53906,238.46094,237.36719,268.5078,127.19531,278.52344,17.023438,288.53906,587.91406,168.35156
37,616.03906,139.69531,556.1328,129.71094,626.02344,189.61719,576.10156,219.57031,446.3047,209.58594,346.46094,229.55469,236.63281,269.4922,126.80469,279.47656,16.976562,289.46094,586.08594,169.64844
38,616.0781,139.39062,556.2656,129.42188,626.0469,189.23438,576.2031,219.14062,446.60938,209.17188,336.95312,229.10938,237.26562,268.98438,127.609375,278.95312,17.953125,288.92188,586.1719,169.29688
39,613.1953,139.47656,553.66406,129.55469,623.1172,189.08594,573.5078,218.85156,444.52344,208.92969,345.3047,228.77344,236.16406,268.46094,127.02344,278.3828,17.882812,288.3047,583.4297,169.24219
40,617.03906,138.69531,557.1328,128.71094,627.02344,188.61719,567.1172,218.57031,447.3047,208.58594,337.47656,238.53906,237.63281,268.4922,127.80469,278.47656,17.976562,278.47656,587.08594,168.64844
41,616.1172,139.08594,556.39844,129.13281,626.0703,188.85156,576.3047,218.71094,446.91406,208.75781,337.4297,228.66406,237.89844,268.47656,128.41406,278.4297,18.929688,288.3828,586.2578,168.94531
42,608.9453,140.30469,558.8672,130.28906,618.96094,190.38281,568.8828,220.42969,448.6953,210.41406,338.52344,230.44531,238.36719,270.5078,128.19531,280.52344,18.023438,290.53906,588.91406,170.35156
43,608.9453,140.30469,558.8672,130.28906,618.96094,190.38281,568.8828,220.42969,448.6953,210.41406,338.52344,230.44531,238.36719,260.4922,128.19531,280.52344,18.023438,280.52344,588.91406,170.35156
44,609.0,140.0,559.0,130.0,619.0,190.0,569.0,220.0,449.0,210.0,339.0,230.0,239.0,270.0,129.0,280.0,19.0,280.0,589.0,170.0
45,609.0547,140.69531,559.1328,130.71094,619.03906,190.61719,569.1172,220.57031,449.3047,210.58594,339.47656,230.55469,239.63281,270.4922,129.80469,280.47656,19.976562,280.47656,589.08594,170.64844
46,617.0781,140.39062,557.2656,130.42188,627.0469,190.23438,577.2031,220.14062,447.60938,210.17188,337.95312,230.10938,238.26562,269.98438,128.60938,279.95312,18.953125,279.95312,587.1719,170.29688
47,616.0781,140.39062,556.2656,130.42188,626.0469,190.23438,576.2031,220.14062,446.60938,210.17188,346.92188,230.10938,237.26562,269.98438,127.609375,279.95312,17.953125,289.92188,586.1719,170.29688
