scorer,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200
bodyparts,Upper Left Eye,Upper Left Eye,Upper Left Eye,Lower Left Eye,Lower Left Eye,Lower Left Eye,Upper Right Eye,Upper Right Eye,Upper Right Eye,Lower Right Eye,Lower Right Eye,Lower Right Eye,SB,SB,SB,Upper Tail,Upper Tail,Upper Tail,Mid-Tail,Mid-Tail,Mid-Tail,Lower Tail,Lower Tail,Lower Tail,Tail Tip,Tail Tip,Tail Tip,Head,Head,Head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
10,698.3828,231.72656,0.9924898,642.9922,198.49219,0.99690807,687.3047,276.03906,0.98306644,631.91406,287.1172,0.985504,521.1328,242.80469,0.98278326,399.27344,242.80469,0.99902403,277.41406,242.80469,1.0,155.55469,231.72656,1.0,22.617188,220.64844,0.9924694,665.14844,253.88281,0.98785055
11,699.3594,231.17188,0.998881,643.8906,197.89062,0.99435586,688.2656,275.54688,0.9837521,632.7969,286.64062,0.99737823,521.8594,253.35938,0.98187304,399.82812,242.26562,0.9892717,277.79688,242.26562,0.99499017,155.76562,231.17188,1.0,22.640625,220.07812,0.9979589,666.0781,253.35938,0.9808706
12,698.40625,231.28125,0.9936188,643.09375,198.09375,0.99375004,687.34375,275.53125,0.9746561,632.03125,286.59375,0.98477334,521.40625,242.34375,0.9849691,399.71875,242.34375,0.9943436,278.03125,242.34375,0.99924535,156.34375,231.28125,1.0,23.59375,220.21875,1.0,665.21875,253.40625,0.9886403
13,698.3594,231.17188,0.9994381,642.8906,197.89062,0.9918907,687.2656,275.54688,0.9736105,631.7969,286.64062,0.9863269,520.8594,242.26562,0.9854371,398.82812,242.26562,1.0,276.79688,242.26562,0.9993628,154.76562,231.17188,1.0,21.640625,220.07812,0.9996879,665.0781,253.35938,0.99051785
14,698.3594,231.17188,0.9970131,642.8906,197.89062,0.99030286,687.2656,275.54688,0.9783553,631.7969,286.64062,0.9861897,520.8594,242.26562,0.9789579,398.82812,242.26562,1.0,276.79688,242.26562,0.9960484,154.76562,231.17188,1.0,21.640625,220.07812,0.9975879,665.0781,253.35938,0.98838997
15,699.33594,231.61719,0.984864,643.78906,198.28906,0.9935155,688.22656,276.0547,0.9832241,632.6797,287.16406,0.9899383,521.58594,242.72656,0.9825733,399.3828,242.72656,0.99793494,277.1797,242.72656,0.9999958,154.97656,231.61719,1.0,21.664062,220.50781,0.9989451,666.0078,253.83594,0.97492665
16,700.4297,220.78906,0.9756629,645.1953,198.69531,0.99346143,689.3828,276.02344,0.9860234,634.14844,287.0703,0.9977141,523.6797,242.88281,0.97863245,402.16406,242.88281,0.9973383,280.64844,242.88281,0.99617976,159.13281,231.83594,0.99918205,26.570312,220.78906,0.9892316,656.2422,253.92969,0.97076935
17,699.3828,231.72656,0.9815647,643.9922,198.49219,0.99342716,688.3047,276.03906,0.9799053,632.91406,287.1172,0.9904441,522.1328,242.80469,0.98237705,400.27344,242.80469,1.0,278.41406,242.80469,1.0,156.55469,231.72656,1.0,23.617188,220.64844,1.0,666.14844,253.88281,0.97460896
18,698.3594,231.17188,0.98763895,642.8906,197.89062,0.9880782,687.2656,275.54688,0.9794958,631.7969,286.64062,0.9867928,520.8594,242.26562,0.98263925,398.82812,242.26562,1.0,276.79688,242.26562,0.9916275,154.76562,231.17188,1.0,21.640625,220.07812,1.0,665.0781,253.35938,0.98508775
19,698.40625,231.28125,0.98922944,643.09375,198.09375,0.9939364,687.34375,275.53125,0.9813781,632.03125,286.59375,0.9792749,521.40625,242.34375,0.9794939,399.71875,242.34375,0.9933645,278.03125,242.34375,1.0,156.34375,231.28125,0.9994951,23.59375,220.21875,1.0,665.21875,253.40625,0.99110395
20,699.3828,231.72656,0.9814816,643.9922,198.49219,0.99228734,688.3047,276.03906,0.9800594,632.91406,287.1172,0.984134,522.1328,242.80469,0.9822057,400.27344,242.80469,0.9928295,278.41406,242.80469,1.0,156.55469,231.72656,1.0,23.617188,220.64844,1.0,666.14844,253.88281,0.98953867
21,698.40625,231.28125,0.98914814,643.09375,198.09375,0.99257255,687.34375,275.53125,0.9845834,632.03125,286.59375,0.9885365,521.40625,253.40625,0.9795172,399.71875,242.34375,1.0,278.03125,242.34375,1.0,156.34375,231.28125,0.99813443,23.59375,220.21875,1.0,665.21875,253.40625,0.9900861
22,700.33594,231.61719,0.9869653,644.78906,198.28906,0.991425,689.22656,276.0547,0.9860584,633.6797,287.16406,0.9951899,522.58594,242.72656,0.98087066,400.3828,242.72656,0.995772,278.1797,242.72656,0.9949155,155.97656,231.61719,0.9882989,22.664062,220.50781,0.9987916,655.89844,253.83594,0.9719442
23,698.3828,231.72656,0.9822942,642.9922,198.49219,0.9934334,687.3047,276.03906,0.9800076,631.91406,287.1172,0.98147905,521.1328,242.80469,0.9830136,399.27344,242.80469,0.99379814,277.41406,242.80469,1.0,155.55469,231.72656,1.0,22.617188,220.64844,1.0,665.14844,253.88281,0.9807855
24,700.3828,231.72656,0.97352755,644.9922,198.49219,0.9978741,689.3047,276.03906,0.9828343,633.91406,287.1172,0.98678553,523.1328,242.80469,0.9850334,401.27344,242.80469,0.9971256,279.41406,242.80469,0.9994995,157.55469,231.72656,1.0,24.617188,220.64844,0.9852702,656.0703,253.88281,0.9744378
25,698.3828,231.72656,0.98901105,642.9922,198.49219,0.9882662,687.3047,276.03906,0.97577983,631.91406,287.1172,0.9931257,521.1328,253.88281,0.9801835,399.27344,242.80469,1.0,277.41406,242.80469,1.0,155.55469,231.72656,1.0,22.617188,220.64844,0.9983692,665.14844,253.88281,0.9870145
26,698.3828,231.72656,0.9912659,642.9922,198.49219,0.98983854,687.3047,276.03906,0.9777292,631.91406,287.1172,0.98139083,521.1328,242.80469,0.98225343,399.27344,242.80469,1.0,277.41406,242.80469,1.0,155.55469,231.72656,1.0,22.617188,220.64844,0.99238527,665.14844,253.88281,0.98286307
27,699.40625,231.28125,0.98864895,644.09375,198.09375,0.9902096,688.34375,275.53125,0.9795005,633.03125,286.59375,0.99183565,522.40625,253.40625,0.9849544,400.71875,242.34375,0.9918008,279.03125,242.34375,1.0,157.34375,231.28125,0.99756986,24.59375,220.21875,1.0,666.21875,253.40625,0.97767884
