,Lower Tail Angle,Mid-Tail Angle,Upper Tail Angle,SB Tail Angle,Active
3152,-0.07907445536891089,-0.0842399787079624,0.02216638229121637,0.030984091550663173,0
3153,-0.08305554494222944,-0.08018459013619017,0.021745350794303953,0.031147401938222963,0
3154,-0.08234221005136533,-0.08182024004805832,0.021370902715399875,0.0311863912409156,0
3155,-0.16437512263725962,-0.07853639111201183,0.021012356162604995,0.03119389203288403,0
3156,-0.08332344242403034,-0.0785293580268065,0.020672347609171027,0.03116764485872414,0
3157,-0.08361197561835576,-0.07757050947071287,0.020352776289771946,0.031108589577383494,0
3158,-0.08145057877430606,-0.0781360887731175,0.020056357680013903,0.03101618887286106,0
3159,-0.07687836121291891,-0.08459349463403099,0.021204021030841513,0.031082656794312324,0
3160,-0.07738144539866632,-0.08731292759771225,0.02113465777510859,0.031134518238300046,0
3161,-0.08949125376625622,-0.07640687916024325,0.021082206610065324,0.03116723151667422,0
3162,-0.0880317424229684,-0.08075998132403317,0.021064794704227285,0.031174198725088864,0
3163,0.5137964747036223,-0.2479871450463782,0.02114041264185973,0.031153851156294543,1
3164,-0.42336664484576536,0.008576480893222715,0.02127587995496638,0.0311050176752401,1
3165,-0.35404120070376965,0.01444689618889683,0.022408789967198306,0.029359404680022294,1
3166,0.6141278447982152,-0.08818224110393524,-0.060559756310076374,0.028880287669937665,1
3167,0.2821689899394002,-0.1951919207817543,0.034598218793498337,0.028347398445285776,1
3168,-0.08599528530162281,-0.10351490030464605,0.03490274566943352,0.027756897102694023,1
3169,-0.49437524129185917,-0.011787342175202387,0.03523860694558367,0.02711277848361826,1
3170,-0.3536638784768207,0.17286109660517068,-0.05565783688347459,0.0264185340320946,1
3171,0.43925534688210055,-0.17188588047941478,0.023207370626616264,0.02567870832145802,1
3172,0.5032408623395144,-0.2456445734315289,0.02335045763168564,0.024900313430988863,1
3173,0.0027741636980005424,-0.0831849938556668,0.023582928290685423,0.024082418296436092,1
3174,-0.08529562056103535,-0.07610485287904378,0.023926587244409436,0.023225047552064115,1
3175,-0.08224501122450345,-0.0774313093347514,0.024357076063875382,0.022330169284849877,0
3176,-0.08112457797997363,-0.07555790949164676,0.024804092442559433,0.02139670887453704,0
3177,-0.07579080819743611,-0.08249205761122669,0.025321462562591712,0.020430640506686526,0
3178,-0.07783043091629205,-0.07873232254173868,0.0245697420704305,0.019441353604849887,0
